endometrium 1	endometrium
endometrium 2	endometrium
gallbladder	gall bladder
prostate	prostate gland
salivary gland	saliva-secreting gland
skeletal muscle	skeletal muscle tissue
skin	zone of skin
skin 1	zone of skin
skin 2	zone of skin
smooth muscle	smooth muscle tissue
soft tissue 1	abdomen
soft tissue 2	abdomen
stomach 1	stomach
stomach 2	stomach
caudate	caudate-putamen
hair	strand of hair
appendix	vermiform appendix
lactating breast	lactating breast
